,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
3109,134,2013-09-21 08:55:42+00,851,-51.18099233,50.0746038,2.6226641,2.068284313
3110,138,2013-09-21 09:10:38+00,851,0.563891821,50.0746729,2.6226786,2.34173013
3111,141,2013-09-21 09:25:36+00,851,-143.524078,50.0746081,2.622645,1.845887321
3112,135,2013-09-21 09:40:32+00,851,-30.65143751,50.0746657,2.6226433,2.461300469
3113,139,2013-09-21 09:55:25+00,851,117.8868337,50.0746201,2.6227036,0.224722051
3114,143,2013-09-21 10:11:26+00,851,-78.05076514,50.0693919,2.6243858,0.451220567
3115,133,2013-09-21 10:26:20+00,851,114.5638026,50.0687965,2.6242511,1.32280006
3116,125,2013-09-21 10:41:22+00,851,154.9120673,50.0743528,2.6224228,2.466576575
3117,135,2013-09-21 10:56:12+00,851,-62.88682932,50.074485,2.622353,1.910497317
3118,136,2013-09-21 11:11:09+00,851,-72.3866864,50.0690039,2.6248219,1.684399003
3119,273,2013-09-21 11:26:04+00,851,-104.4579415,50.0699489,2.6223846,1.011780609
3120,236,2013-09-21 11:41:03+00,851,-31.14627547,50.0815148,2.6186926,10.02055887
3121,134,2013-09-21 11:56:21+00,851,35.20990514,50.0814057,2.6182349,0.148660687
3122,136,2013-09-21 12:11:26+00,851,-129.0665223,50.0817736,2.6183306,0.380788655
3123,139,2013-09-21 12:26:56+00,851,-159.571382,50.0817058,2.6183134,0.390512484
3124,182,2013-09-21 12:41:50+00,851,-77.37162591,50.0785256,2.6095384,10.46231332
3125,137,2013-09-21 12:56:57+00,851,-107.9422284,50.0932676,2.5951925,0.362491379
3126,143,2013-09-21 13:12:15+00,851,27.41210452,50.0932702,2.5951897,1.966977377
3127,147,2013-09-21 13:27:09+00,851,62.48144498,50.0948089,2.5949203,1.591540135
3128,341,2013-09-21 13:42:08+00,851,-55.30630187,50.0952137,2.5958812,4.725632233
3129,241,2013-09-21 13:57:00+00,851,-32.53772641,50.0942089,2.5945824,0.264764046
